neighborhood,sqft,bedrooms,bathrooms,lot_size_sqft,year_built,stories,garage_spaces,has_basement,has_porch,renovated_last_10yrs,fireplace,condition_score,distance_to_downtown_km,crime_index,school_rating,walk_score,property_tax_annual,vacant_lot_nearby,sale_price
East English Village,1598.0,3,1.0,3575.0,1964,1.0,1.0,1,1,0,1,5.6,12.19,97.3,7.0,26.3,953.0,0,12000.0
Bagley,1466.0,2,1.0,3423.0,1968,1.0,2.0,1,1,0,1,7.2,12.73,72.1,5.3,49.5,2261.0,0,73511.0
University District,1848.0,3,1.5,3038.0,1938,1.0,1.0,1,1,0,0,6.4,5.52,35.9,4.4,68.5,2258.0,0,180431.0
Morningside,1767.0,2,1.0,5168.0,1934,1.0,0.0,0,1,1,0,6.9,6.18,59.2,5.1,45.4,936.0,0,53848.0
Brightmoor,1068.0,3,2.0,3751.0,1966,2.0,0.0,1,1,0,0,1.0,3.94,81.2,3.6,36.0,2363.0,0,12000.0
Sherwood Forest,862.0,3,1.0,4504.0,1948,1.5,0.0,1,0,1,0,6.0,20.56,39.2,7.6,6.6,345.0,0,31493.0
Corktown,1489.0,3,1.5,5750.0,1966,1.0,0.0,0,1,0,0,4.3,5.83,38.9,6.6,48.8,2150.0,0,211892.0
Indian Village,1950.0,3,1.5,2896.0,1934,2.0,1.0,1,0,1,0,5.8,11.37,53.7,5.6,59.6,1479.0,0,408086.0
Greenfield,735.0,5,1.0,7854.0,1952,2.0,0.0,1,1,1,1,4.5,7.36,71.7,4.6,28.6,856.0,0,12000.0
Sherwood Forest,849.0,3,1.5,5921.0,1968,1.5,2.0,1,0,0,0,6.5,6.47,60.5,5.6,42.1,2438.0,0,65247.0
Morningside,868.0,3,1.5,6252.0,1956,1.0,0.0,1,0,0,0,1.7,2.14,54.6,6.1,42.7,2202.0,0,12000.0
Brightmoor,508.0,3,1.0,5061.0,1953,2.5,0.0,1,1,0,0,4.3,16.45,72.8,2.6,69.5,2490.0,1,12000.0
Warrendale,1314.0,4,1.5,2396.0,1956,2.0,1.0,1,1,0,0,5.4,10.93,76.9,4.5,30.9,1043.0,1,12000.0
Cody Rouge,2001.0,3,2.5,1200.0,1977,1.0,1.0,1,1,0,0,,15.5,47.6,4.2,59.3,2661.0,0,65730.0
Morningside,702.0,4,2.0,4885.0,1974,1.0,1.0,1,1,1,1,4.1,1.43,40.2,3.6,63.4,1590.0,0,12000.0
Corktown,1670.0,4,2.0,4350.0,1927,2.5,1.0,1,1,1,1,5.8,12.74,52.9,6.3,36.9,1467.0,0,332310.0
East English Village,1044.0,3,1.0,3800.0,1933,1.0,2.0,1,1,1,0,6.9,15.39,55.6,3.9,48.3,1413.0,0,20141.0
Brightmoor,1286.0,4,1.0,3511.0,1934,2.0,0.0,1,1,0,0,3.9,7.94,84.9,4.2,49.1,1830.0,1,12000.0
Boston-Edison,1985.0,2,1.0,5633.0,1953,2.0,2.0,1,1,1,0,6.5,13.54,74.0,6.1,49.9,1541.0,0,266754.0
Cody Rouge,1551.0,3,1.5,4806.0,1965,2.5,1.0,1,1,0,1,2.3,10.2,70.2,4.6,47.4,2646.0,1,12000.0
Corktown,1599.0,2,2.0,6558.0,1932,1.0,2.0,1,1,0,0,6.1,1.33,70.5,7.8,48.5,1721.0,0,248958.0
Boston-Edison,760.0,3,2.0,6577.0,1972,1.0,2.0,0,1,1,0,7.9,3.48,75.9,7.8,49.7,1302.0,0,204976.0
Jefferson-Chalmers,792.0,5,1.0,5078.0,1944,1.5,0.0,1,0,1,1,3.6,8.27,42.9,3.4,55.7,759.0,0,12000.0
Indian Village,1045.0,4,1.5,4754.0,1944,1.5,1.0,1,1,1,1,5.2,8.89,41.2,6.9,43.0,3481.0,0,303523.0
University District,1380.0,2,1.0,6735.0,1961,2.0,0.0,1,1,0,1,4.5,16.66,75.3,4.7,52.0,2686.0,0,99296.0
Lafayette Park,1663.0,5,2.5,5635.0,1935,1.0,1.0,1,1,0,0,5.9,1.99,69.2,8.1,51.0,1670.0,0,235599.0
Jefferson-Chalmers,2179.0,3,1.5,5016.0,1961,1.0,0.0,1,1,1,1,3.9,6.83,86.6,3.7,32.0,1957.0,0,111952.0
Indian Village,1868.0,3,1.5,6391.0,1962,2.0,0.0,1,1,0,0,4.0,11.22,53.7,6.6,38.0,1782.0,0,368157.0
Brightmoor,2090.0,5,1.0,5296.0,1918,1.0,2.0,0,1,0,0,5.4,5.55,72.0,3.4,62.5,1386.0,0,27387.0
Grandmont-Rosedale,603.0,3,2.5,6330.0,1940,1.0,1.0,1,1,1,1,5.1,13.64,61.8,5.3,41.7,1750.0,0,13606.0
Greenfield,1422.0,3,1.0,3834.0,1985,1.0,1.0,1,0,0,1,5.7,2.05,80.2,2.0,56.9,1054.0,0,12000.0
Greenfield,900.0,4,1.5,3629.0,1971,1.0,1.0,1,1,0,0,4.4,13.33,77.2,3.8,45.1,1938.0,0,12000.0
Russell Woods,1753.0,5,1.0,4008.0,1912,2.0,2.0,1,0,0,0,6.0,14.5,81.8,4.3,52.6,2353.0,0,28331.0
Lafayette Park,737.0,2,1.0,7595.0,1913,1.0,0.0,0,1,0,0,5.5,0.5,43.2,6.4,68.1,1482.0,0,81793.0
Jefferson-Chalmers,1393.0,2,1.5,1858.0,1970,2.0,1.0,1,1,0,1,2.2,3.66,86.0,4.9,35.2,1473.0,0,12000.0
Greenfield,1601.0,3,3.0,6562.0,1953,1.0,2.0,1,1,0,1,4.0,6.57,80.3,5.3,41.8,1224.0,1,23158.0
Jefferson-Chalmers,1410.0,3,1.5,5778.0,1949,1.0,0.0,1,1,1,1,5.4,3.4,52.6,4.2,63.0,1594.0,0,99117.0
Cody Rouge,1077.0,3,1.0,4349.0,1959,1.5,1.0,0,1,0,0,3.9,3.03,87.5,3.4,54.5,1496.0,0,12000.0
Cody Rouge,661.0,1,2.0,6787.0,1954,1.5,0.0,0,0,1,0,3.7,4.05,65.5,3.4,49.4,1269.0,1,12000.0
Bagley,1509.0,4,1.0,5473.0,1975,2.5,1.0,1,1,0,0,4.0,11.51,58.1,6.4,34.7,1919.0,0,66036.0
Chadsey-Condon,1340.0,3,1.0,4292.0,1967,1.0,1.0,0,0,1,1,4.8,9.7,100.0,3.1,42.3,990.0,0,12000.0
Grandmont-Rosedale,1979.0,3,1.5,4627.0,1956,1.5,1.0,1,1,0,0,7.6,10.68,88.2,4.8,51.7,2205.0,0,115456.0
Boston-Edison,1608.0,2,1.5,4784.0,1971,1.0,2.0,1,1,0,1,6.8,9.05,31.3,5.6,44.1,1373.0,0,251835.0
Brightmoor,1377.0,3,1.5,5676.0,1949,1.0,0.0,1,0,0,0,1.2,8.04,100.0,3.8,44.5,1371.0,1,12000.0
Palmer Woods,1427.0,3,2.0,6943.0,1968,1.5,1.0,0,1,0,0,4.2,3.73,21.6,8.4,61.1,1396.0,0,275101.0
Brightmoor,2190.0,4,2.0,2652.0,1968,2.0,0.0,0,0,0,0,3.2,8.95,100.0,2.8,42.3,2313.0,1,12000.0
Greenfield,1203.0,4,1.5,3485.0,1943,2.0,0.0,1,1,0,0,4.1,2.21,68.5,4.2,64.9,1779.0,0,12000.0
Bagley,1464.0,3,1.0,7138.0,1926,2.0,1.0,0,0,0,0,3.8,5.48,70.2,6.5,66.3,923.0,0,70109.0
Corktown,1658.0,4,1.0,4869.0,1980,2.0,,1,0,0,1,,6.32,30.6,,,2206.0,0,324727.0
Jefferson-Chalmers,1451.0,3,1.0,6443.0,1954,2.0,2.0,1,1,0,1,5.7,13.0,74.0,3.9,50.6,2028.0,1,31965.0
Morningside,1305.0,3,2.0,5840.0,1948,2.0,1.0,1,1,0,0,3.0,17.15,76.0,5.0,52.1,1364.0,0,12000.0
Chadsey-Condon,1636.0,4,1.5,5898.0,1953,2.0,0.0,1,1,0,0,3.4,12.09,53.8,4.7,46.3,2019.0,0,12000.0
Indian Village,1721.0,4,2.0,5656.0,1953,1.0,1.0,1,1,0,0,1.5,7.23,43.6,5.6,29.3,1820.0,0,331613.0
West Village,2090.0,5,2.5,6975.0,1970,1.0,2.0,1,0,0,0,6.8,12.13,66.5,6.7,63.0,1001.0,0,307027.0
Palmer Woods,1310.0,3,2.5,5935.0,1925,2.0,1.0,0,1,1,0,8.9,17.48,71.7,7.3,27.6,1899.0,0,288820.0
Russell Woods,1126.0,2,2.0,3841.0,1922,1.0,0.0,1,1,0,1,1.0,6.29,78.4,3.3,53.6,2336.0,1,12000.0
Jefferson-Chalmers,892.0,2,1.0,1314.0,1937,1.0,2.0,0,1,0,0,6.3,13.82,52.1,4.8,41.1,2046.0,0,12000.0
Chadsey-Condon,600.0,3,2.0,2542.0,1954,1.5,2.0,1,1,0,0,1.8,5.69,74.8,3.6,64.2,1089.0,1,12000.0
Sherwood Forest,1435.0,3,1.0,4955.0,1924,1.0,2.0,1,1,0,0,1.7,11.79,86.7,6.1,36.8,1672.0,0,77433.0
Warrendale,1040.0,2,1.0,3084.0,1950,1.0,2.0,1,1,0,0,6.9,12.97,72.6,4.0,82.9,2009.0,1,12000.0
Cody Rouge,1289.0,2,1.0,3878.0,1942,2.0,0.0,1,1,0,1,3.4,0.5,92.2,2.6,57.2,704.0,1,12000.0
Sherwood Forest,1088.0,3,1.5,6170.0,1943,2.0,0.0,1,1,0,1,4.2,10.19,55.1,7.4,64.0,968.0,0,92323.0
Boston-Edison,2211.0,3,1.0,5874.0,1953,1.5,1.0,1,1,1,0,6.5,8.59,17.4,6.3,60.0,2182.0,0,325778.0
Palmer Woods,1079.0,3,1.0,1200.0,1964,2.0,1.0,1,1,1,0,8.0,10.68,36.7,9.1,33.0,1519.0,0,390648.0
Boston-Edison,1411.0,5,1.0,3580.0,1959,2.0,1.0,1,1,0,1,6.4,12.03,79.5,6.7,33.7,2575.0,0,214082.0
Boston-Edison,1978.0,3,1.5,4770.0,1939,2.5,0.0,1,1,1,0,6.0,13.51,81.9,7.4,71.0,1256.0,0,370413.0
Corktown,1243.0,3,1.5,4254.0,1965,1.0,0.0,1,0,1,1,3.9,13.28,75.5,6.4,42.4,1849.0,0,263528.0
Greenfield,1320.0,2,1.5,7876.0,1923,1.0,0.0,0,1,0,1,4.5,15.31,89.2,3.9,36.7,1173.0,0,12000.0
Grandmont-Rosedale,2450.0,3,1.5,4468.0,1938,1.0,0.0,1,1,0,0,2.5,11.03,39.6,4.6,38.1,1657.0,0,116171.0
Bagley,1871.0,2,2.0,9716.0,1956,1.0,0.0,1,0,0,0,5.4,8.92,73.1,5.4,40.0,836.0,0,81720.0
Bagley,783.0,4,1.0,6653.0,1963,1.0,1.0,1,0,1,0,6.3,13.84,65.9,5.1,47.1,2592.0,1,75109.0
Jefferson-Chalmers,1242.0,2,1.5,5595.0,1924,1.5,0.0,1,1,0,1,7.3,6.24,68.4,3.7,51.3,1777.0,0,18924.0
Palmer Woods,1261.0,2,1.5,2127.0,1971,1.0,0.0,1,1,0,0,5.8,4.82,16.3,9.4,56.6,1745.0,0,346409.0
Indian Village,1228.0,2,1.0,4026.0,1949,2.0,0.0,0,1,0,0,6.0,1.67,68.9,9.3,48.1,1768.0,0,239838.0
Boston-Edison,1301.0,3,1.0,4149.0,1908,2.0,0.0,1,1,1,0,5.6,2.07,28.7,7.4,28.9,1928.0,0,194100.0
Russell Woods,1860.0,3,1.0,5802.0,1992,1.0,2.0,1,0,0,1,4.9,10.46,66.0,5.1,38.8,1169.0,0,67883.0
Russell Woods,1135.0,2,1.5,3778.0,1914,2.5,2.0,1,1,1,0,5.1,7.37,75.6,3.7,59.6,1713.0,1,12000.0
Jefferson-Chalmers,1325.0,4,1.5,1336.0,2006,1.0,1.0,1,1,0,1,6.6,0.5,37.3,6.7,74.9,1725.0,1,117085.0
Bagley,1256.0,4,2.0,1200.0,1962,1.0,1.0,1,1,0,0,6.0,4.63,36.3,5.1,61.6,2467.0,0,104493.0
Lafayette Park,1291.0,3,1.0,5141.0,1958,2.0,1.0,0,1,0,0,6.6,11.12,25.6,7.5,68.7,1299.0,0,176855.0
Chadsey-Condon,790.0,3,2.0,7024.0,1957,1.0,0.0,0,0,0,0,3.2,9.77,100.0,3.0,30.6,1309.0,1,12000.0
University District,2214.0,4,1.5,3915.0,1965,2.0,2.0,1,1,0,1,4.5,8.88,28.1,5.6,43.0,1433.0,0,229980.0
Brightmoor,1689.0,4,2.0,5176.0,1926,1.0,2.0,0,1,1,0,7.4,13.81,86.2,4.5,45.8,1721.0,0,38020.0
Jefferson-Chalmers,990.0,3,1.5,3801.0,1929,1.0,2.0,0,0,0,0,5.9,19.09,56.8,2.3,39.4,1749.0,0,12000.0
East English Village,1213.0,3,1.0,7210.0,1929,2.0,1.0,1,1,0,0,7.2,12.03,61.7,5.2,38.3,1560.0,0,46143.0
Sherwood Forest,1089.0,3,1.5,2996.0,1964,1.0,1.0,1,0,0,0,5.1,0.5,52.9,8.8,64.0,1787.0,1,102308.0
Midtown,1221.0,4,1.0,3505.0,1931,1.0,1.0,0,1,0,0,6.3,5.19,62.0,8.0,73.9,3118.0,0,186483.0
Corktown,1433.0,3,1.5,7482.0,1912,1.0,0.0,0,1,0,0,5.0,9.09,53.3,5.1,40.3,1537.0,0,202227.0
University District,804.0,2,1.5,5480.0,1972,2.0,0.0,1,1,0,0,,11.02,57.6,4.7,46.0,1729.0,0,53132.0
Indian Village,1352.0,2,1.0,5204.0,1966,1.5,1.0,1,0,0,0,5.3,11.02,55.4,7.3,50.2,1503.0,0,220464.0
Midtown,1428.0,3,2.0,3754.0,1948,2.5,1.0,0,1,0,0,6.9,15.27,68.6,7.2,28.3,1796.0,0,198959.0
University District,1086.0,4,2.5,5220.0,1949,2.0,0.0,0,1,1,0,4.0,24.73,32.6,8.9,31.5,1741.0,0,93829.0
Warrendale,1021.0,4,1.0,6407.0,1921,1.0,2.0,0,1,0,0,5.6,7.17,84.1,4.3,56.3,3184.0,0,12000.0
Russell Woods,919.0,2,1.5,6459.0,1945,1.5,0.0,1,0,0,1,6.9,0.5,74.4,4.9,59.5,2665.0,0,12000.0
University District,1380.0,4,1.0,4712.0,1956,1.0,,1,1,0,0,,5.1,64.3,,,2575.0,0,120713.0
Grandmont-Rosedale,1229.0,4,1.0,2643.0,1966,1.0,1.0,1,1,1,1,6.4,15.57,32.4,4.9,45.3,3062.0,0,90266.0
Grandmont-Rosedale,1722.0,2,1.0,4271.0,1951,1.0,1.0,1,1,0,1,6.3,3.57,55.5,5.3,54.8,1657.0,0,107753.0
Grandmont-Rosedale,726.0,2,2.0,6488.0,1961,1.5,1.0,0,1,0,0,5.7,8.73,65.0,6.5,36.0,1935.0,1,12000.0
Russell Woods,496.0,2,1.0,4713.0,1952,2.0,1.0,1,1,0,0,5.1,10.92,68.7,2.9,54.5,1525.0,0,12000.0
Sherwood Forest,1174.0,2,1.5,6065.0,1953,1.0,1.0,0,1,0,0,7.1,6.74,37.0,5.5,53.7,2270.0,0,121180.0
Greenfield,887.0,2,1.5,4712.0,1948,1.0,2.0,0,1,0,1,3.6,0.69,58.7,2.7,46.6,1742.0,0,12000.0
University District,958.0,3,1.0,5421.0,1986,1.5,0.0,1,1,0,0,5.0,1.55,86.6,7.3,74.9,647.0,0,109202.0
Corktown,1615.0,3,1.5,2412.0,1971,1.0,0.0,1,0,0,1,7.8,14.06,44.8,7.1,31.5,1784.0,0,266641.0
Brightmoor,1140.0,2,2.5,7287.0,1919,2.0,0.0,0,1,0,0,4.9,5.47,73.0,2.6,40.6,1753.0,1,12000.0
Palmer Woods,1072.0,3,2.0,5650.0,1949,1.0,1.0,1,1,0,0,7.3,12.07,45.5,9.0,73.7,1250.0,0,303196.0
Grandmont-Rosedale,1830.0,3,2.0,5585.0,2019,1.0,1.0,1,1,1,0,,10.78,38.5,,,2485.0,0,123766.0
Palmer Woods,2064.0,3,2.0,5784.0,1977,1.0,2.0,1,1,0,1,5.9,6.78,57.1,8.4,56.9,830.0,0,514778.0
Chadsey-Condon,1861.0,1,1.0,4826.0,1957,2.0,2.0,1,1,0,0,4.9,4.55,95.0,2.3,60.3,1878.0,0,12000.0
Palmer Woods,876.0,1,2.0,5428.0,1954,1.5,0.0,0,1,0,0,5.0,5.1,30.2,8.3,69.6,1773.0,0,318158.0
Palmer Woods,2248.0,3,1.0,5762.0,1890,2.0,1.0,1,0,0,0,6.3,4.97,42.5,6.7,58.8,2401.0,0,421898.0
Warrendale,1843.0,3,1.0,7877.0,1942,2.0,2.0,1,1,0,0,5.1,7.8,78.9,3.8,40.7,2531.0,1,54062.0
Grandmont-Rosedale,1307.0,4,1.5,3543.0,1941,1.5,2.0,0,1,0,0,6.9,7.67,78.4,4.4,40.6,922.0,0,26678.0
Corktown,2196.0,3,2.5,6542.0,1943,1.0,2.0,1,1,0,1,9.1,15.28,56.0,7.3,50.3,999.0,0,379975.0
Jefferson-Chalmers,1004.0,3,1.5,4588.0,1955,2.0,1.0,1,1,0,0,5.6,8.58,44.7,3.9,59.3,1359.0,0,12000.0
Indian Village,1758.0,3,1.0,4856.0,1952,1.0,2.0,1,1,0,0,5.5,9.44,49.0,5.6,60.7,1228.0,0,308885.0
Morningside,1849.0,3,1.5,7155.0,1964,1.0,0.0,1,0,0,1,6.2,11.0,83.3,5.0,51.8,850.0,0,57776.0
Lafayette Park,1125.0,4,1.0,5026.0,1973,2.0,2.0,1,0,0,0,,14.47,44.4,,,959.0,0,127763.0
East English Village,1465.0,3,1.0,4079.0,1943,2.0,1.0,1,1,0,0,5.2,12.98,81.7,5.1,31.8,2538.0,0,12000.0
Indian Village,1526.0,1,2.0,6393.0,1934,1.5,1.0,1,1,1,0,6.4,17.83,49.9,8.3,56.8,1280.0,0,321536.0
Corktown,709.0,3,1.5,3838.0,1962,1.0,1.0,0,0,0,0,6.1,11.65,53.8,7.0,47.3,1950.0,0,208101.0
Indian Village,1423.0,4,1.0,6803.0,1930,2.0,2.0,1,1,0,1,6.0,8.25,53.0,6.2,60.4,2002.0,0,332839.0
East English Village,1102.0,3,1.5,3456.0,1944,1.0,0.0,0,0,1,1,3.1,8.72,71.4,5.8,40.2,958.0,0,12000.0
University District,980.0,2,1.0,5127.0,1961,1.0,0.0,1,0,0,0,5.1,11.58,27.8,6.0,49.4,1929.0,0,127076.0
Boston-Edison,1273.0,4,1.5,5141.0,1926,1.0,0.0,1,1,1,0,7.5,9.78,35.4,6.8,42.9,3274.0,0,234014.0
Midtown,1146.0,4,1.5,6698.0,1936,2.0,0.0,0,1,0,0,3.3,7.42,91.3,5.5,57.0,332.0,0,126489.0
Midtown,1462.0,3,1.0,4342.0,1952,1.5,1.0,1,1,0,1,7.3,7.63,62.1,7.5,68.4,3536.0,0,268552.0
Corktown,1607.0,4,1.0,5625.0,1902,1.0,1.0,1,0,0,0,5.4,10.31,47.0,4.0,21.3,1375.0,0,237302.0
Cody Rouge,2256.0,3,1.5,5893.0,1943,2.0,1.0,0,1,0,0,7.0,15.9,73.5,4.3,31.4,2306.0,1,41063.0
Brightmoor,604.0,3,1.5,3192.0,1930,1.0,2.0,1,1,0,1,3.2,12.39,66.6,4.4,46.5,1352.0,0,12000.0
Russell Woods,2086.0,3,1.0,2632.0,1959,1.0,1.0,1,1,1,1,5.0,10.49,79.4,3.3,34.8,2494.0,0,75018.0
East English Village,1031.0,4,1.0,3323.0,1948,2.5,,1,0,0,0,,4.42,78.3,,,1985.0,0,12000.0
Russell Woods,895.0,5,2.0,4374.0,1972,1.0,0.0,0,1,0,1,3.2,10.59,62.8,2.4,49.8,461.0,0,12000.0
East English Village,1903.0,5,1.0,2612.0,1948,1.0,2.0,1,1,0,0,4.9,12.66,53.5,4.0,41.9,803.0,1,56209.0
Indian Village,1553.0,5,1.0,5848.0,1946,1.0,0.0,0,1,0,0,6.8,2.63,59.6,5.1,65.2,2101.0,0,340749.0
Morningside,1116.0,3,1.5,3664.0,1954,1.0,2.0,1,0,0,0,4.7,12.38,77.1,3.6,37.2,1701.0,0,12000.0
Brightmoor,480.0,2,2.0,3032.0,1949,2.0,0.0,1,0,0,1,4.6,6.36,86.8,4.4,25.3,2611.0,1,12000.0
Warrendale,2116.0,3,3.0,8319.0,1928,1.0,1.0,0,1,0,0,3.6,17.33,76.2,3.9,33.6,2426.0,0,15024.0
Jefferson-Chalmers,1458.0,4,1.0,7865.0,1952,2.0,1.0,1,1,0,1,7.6,14.4,65.1,2.8,30.1,1670.0,0,52487.0
Bagley,523.0,3,1.5,5165.0,1951,2.0,1.0,1,1,0,0,,10.22,61.5,,,2842.0,0,12000.0
University District,1385.0,3,2.5,6758.0,1957,1.0,0.0,1,1,0,0,4.2,15.73,47.5,5.5,39.7,1007.0,0,110109.0
Sherwood Forest,832.0,2,1.0,3065.0,1939,1.0,2.0,1,1,1,0,3.8,12.7,40.1,7.2,21.2,3500.0,0,75990.0
Brightmoor,678.0,3,1.5,3297.0,1937,1.0,0.0,0,0,0,0,3.1,2.51,96.3,2.6,38.3,2389.0,1,12000.0
Boston-Edison,2280.0,3,1.0,5288.0,1933,2.0,1.0,1,1,0,0,4.8,10.74,45.2,4.8,57.5,1364.0,1,296703.0
Corktown,869.0,2,1.0,3897.0,1969,2.0,2.0,1,0,0,0,6.9,3.61,63.2,7.5,74.1,1513.0,0,266778.0
Indian Village,541.0,1,2.5,6791.0,1996,1.0,1.0,1,0,0,0,6.2,1.49,52.2,6.2,14.9,2187.0,0,178563.0
Lafayette Park,1631.0,3,1.0,6411.0,1967,2.0,1.0,1,1,0,1,8.3,12.28,37.8,7.0,29.4,1234.0,0,220904.0
Chadsey-Condon,1177.0,3,1.0,5416.0,1912,1.0,0.0,1,1,1,0,6.1,12.1,100.0,3.3,66.8,2617.0,0,12000.0
Brightmoor,1439.0,4,1.5,9963.0,1911,2.0,1.0,0,1,0,0,5.4,11.71,87.9,4.3,58.3,2057.0,0,12000.0
Morningside,927.0,2,2.0,7385.0,1942,2.0,,1,1,0,0,,10.04,76.3,,,2417.0,0,12000.0
Palmer Woods,797.0,3,1.5,6464.0,1938,2.0,2.0,0,1,0,0,7.9,8.71,53.5,7.7,59.8,1617.0,0,243424.0
Indian Village,1929.0,4,1.0,4082.0,1927,1.5,1.0,1,1,1,0,6.6,12.35,71.4,6.7,24.3,2532.0,0,365475.0
Greenfield,1945.0,5,1.0,2895.0,1968,2.0,2.0,1,1,0,0,3.6,10.71,69.9,2.4,48.6,2901.0,0,19229.0
Palmer Woods,1369.0,3,1.0,6892.0,1949,2.0,2.0,1,1,0,1,7.2,11.82,51.4,6.5,58.6,2373.0,0,287582.0
Cody Rouge,1556.0,3,1.0,4502.0,1949,1.0,1.0,1,1,0,0,1.4,0.93,55.9,3.2,77.7,1432.0,1,12000.0
University District,1038.0,3,1.0,3914.0,1951,1.0,2.0,1,0,0,0,3.5,15.75,68.2,5.6,39.3,1569.0,0,28813.0
Greenfield,1409.0,2,1.5,6247.0,1931,1.0,1.0,1,0,1,1,4.0,14.41,77.4,4.2,33.5,2567.0,1,12000.0
